-56,-40,-37,-50,1
-56,-39,-42,-52,1
-57,-38,-39,-51,1
-56,-40,-39,-50,1
-55,-39,-38,-54,1
-71,-38,-37,-51,1
-69,-37,-36,-62,1
-60,-37,-37,-58,1
-61,-39,-36,-62,1
-71,-44,-34,-63,1
-59,-36,-34,-49,1
-68,-35,-40,-49,1
-66,-38,-35,-53,1
-60,-41,-28,-57,1
-57,-54,-26,-70,1
-55,-45,-28,-56,1
-64,-44,-30,-55,1
-64,-45,-36,-64,1
-57,-39,-37,-48,1
-57,-39,-37,-63,1
-55,-38,-38,-50,1
-55,-45,-38,-50,1
-54,-37,-40,-55,1
-54,-38,-45,-54,1
-55,-39,-45,-61,1
0,-39,-44,-61,1
0,-40,-48,-73,1
-53,-76,-41,-61,1
-52,-39,0,-52,1
-51,-41,-40,-55,1
0,-38,-39,-55,1
-50,-40,-41,-61,1
-50,-44,-38,-50,1
-50,-40,-39,-54,1
-52,-45,-40,-57,1
-51,-44,-42,-54,1
-50,-41,-40,-60,1
-49,-46,-44,-60,1
-50,-41,-45,-56,1
-47,-48,-47,-55,1
-49,-39,-41,-56,1
-50,-39,-42,-56,1
-50,-38,-41,-52,1
-86,-41,-38,-54,1
-48,-42,-41,-58,1
-50,-41,-44,-52,1
-52,-40,-40,-59,1
-49,-40,-41,-62,1
-53,-40,-41,-56,1
-52,-39,-42,-52,1
-55,-39,-42,-66,1
-56,-40,0,-86,1
-55,-41,-43,-62,1
-56,-39,-42,-54,1
-57,-37,-41,-54,1
-56,-39,-40,-53,1
-51,-42,-41,-60,1
-51,-42,-39,-56,1
-52,-39,-42,-61,1
-56,-41,-40,-62,1
-55,-40,-41,-62,1
-55,-42,-39,-64,1
-62,-42,-40,-61,1
-62,-41,-42,-60,1
-65,-39,-40,-66,1
-49,-41,-51,-52,1
-44,-38,-51,-54,1
-52,-39,-67,-56,1
-50,-40,-58,-53,1
-50,-38,-63,-55,1
-49,-38,-66,-55,1
-48,-39,-50,-56,1
0,-41,-64,-54,1
-54,-42,-56,-53,1
-55,-41,-56,-60,1
-59,-44,-46,-52,1
-59,-40,-37,-59,1
-61,-61,-36,-60,1
-57,-50,-38,-64,1
-53,-42,-29,-70,1
0,-43,-30,-68,1
0,-44,-37,-53,1
-56,-44,-35,-54,1
-55,-46,-36,-53,1
-56,-45,0,-52,1
-57,-42,-38,-53,1
-55,-50,-40,-55,1
-56,-40,-38,-56,1
-53,-56,-30,-61,1
-56,-42,-26,-52,1
-66,-43,-45,-54,2
-53,-42,-48,-52,2
-67,-41,-45,-54,2
-52,-56,-44,-52,2
-49,-53,-48,-65,2
-50,-54,-46,-68,2
-51,-70,-47,-66,2
-52,-51,-49,-79,2
-45,-50,-49,-68,2
-44,-51,-48,-66,2
-44,-50,-47,-61,2
0,-52,-47,-63,2
-44,-61,-47,-64,2
-45,-51,-48,-67,2
-42,-50,-48,-65,2
-44,-50,-48,-65,2
-45,-52,-48,-64,2
-44,-56,-47,-65,2
-46,-51,-48,-65,2
-45,-54,-48,-64,2
-44,-54,-48,-63,2
-46,-55,-49,-69,2
-54,-42,-46,-65,2
-67,-45,-49,-51,2
-56,-43,-45,-57,2
-50,-45,-46,-53,2
-47,-42,-48,-58,2
0,-42,-46,-56,2
-49,-38,-48,-54,2
-46,-37,-47,-53,2
-42,-43,-46,-54,2
-43,-40,-46,-64,2
-42,-40,0,-55,2
-43,-39,-43,-55,2
-42,-41,-44,-54,2
-41,-42,-47,-65,2
-42,-41,-50,-51,2
-42,-46,-53,-55,2
-41,-49,-63,-53,2
-42,-49,-67,-57,2
-44,-48,-58,-54,2
-42,-52,-52,-54,2
-43,-40,-54,-54,2
-43,-42,-63,-54,2
-42,-49,-61,-56,2
0,-46,-61,-57,2
-47,-43,-55,-52,2
-47,-39,-48,-54,2
-50,-41,-48,-53,2
-42,-46,-44,-54,2
